feature,importance
id,0.41133790442361823
attack_cat,0.0997181585148987
state,0.07969293452300828
smean,0.05552316545370029
rate,0.05102717816563301
state_rarity,0.05066699703104798
dur,0.04549941973129403
ct_srv_src,0.0348384989501598
ct_state_ttl,0.03180017446405584
total_bytes,0.028685563066015753
